area_type,availability,location,size,total_sqft,bath,balcony,City,Price,BHK,ready_to_move,price_per_sqft
Super built-up  Area,21-12-2024 00:00,Kanakpura Road,2 BHK,700,2,1,Bangalore,3600000,2,0,5142.857143
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1070,2,1,Bangalore,4550000,2,1,4252.336449
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,1724,3,2,Bangalore,12500000,3,1,7250.580046
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,1290,2,2,Bangalore,5612000,3,1,4350.387597
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1143,2,2,Bangalore,4500000,2,1,3937.007874
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,1296,2,2,Bangalore,8100000,2,1,6250
Super built-up  Area,19-12-2024 00:00,Sarjapur  Road,3 BHK,1254,3,2,Bangalore,3800000,3,0,3030.30303
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,600,1,0,Bangalore,3800000,1,1,6333.333333
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,660,1,0,Bangalore,4800000,1,1,7272.727273
Super built-up  Area,19-09-2024 00:00,Kanakpura Road,2 BHK,1330.74,2,2,Bangalore,9179000,2,0,6897.66596
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,600,9,2,Bangalore,20000000,8,1,33333.33333
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,970,2,0,Bangalore,3300000,2,1,3402.061856
Super built-up  Area,20-09-2024 00:00,Whitefield,2 BHK,1459,2,1,Bangalore,9482000,2,0,6498.971899
Plot  Area,Ready To Move,KR Puram,2 Bedroom,800,1,1,Bangalore,13000000,2,1,16250
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,869,2,1,Bangalore,3600000,2,1,4142.69275
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,1270,2,1,Bangalore,5000000,2,1,3937.007874
Super built-up  Area,18-03-2024 00:00,Bhoganhalli,3 BHK,1670,3,1,Bangalore,9900000,3,0,5928.143713
Built-up  Area,Ready To Move,Whitefield,3 BHK,2010,3,2,Bangalore,9100000,3,1,4527.363184
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1185,2,2,Bangalore,7500000,2,1,6329.113924
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1600,2,3,Bangalore,7500000,3,1,4687.5
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200,2,2,Bangalore,4400000,2,1,3666.666667
Built-up  Area,20-02-2024 00:00,Devanahalli,4 Bedroom,3210,2,2,Bangalore,19200000,4,0,5981.308411
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,1500,2,2,Bangalore,18500000,2,1,12333.33333
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,1407,4,1,Bangalore,15000000,6,1,10660.98081
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,840,2,2,Bangalore,4500000,2,1,5357.142857
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,4395,3,2,Bangalore,24000000,3,1,5460.750853
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,845,2,1,Bangalore,5500000,2,1,6508.87574
Plot  Area,Ready To Move,Whitefield,4 Bedroom,5700,5,3,Bangalore,65000000,4,1,11403.50877
Built-up  Area,Ready To Move,Varthur,2 BHK,1160,2,2,Bangalore,4400000,2,1,3793.103448
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,3000,8,0,Bangalore,14000000,8,1,4666.666667
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1100,2,1,Bangalore,6200000,2,1,5636.363636
Super built-up  Area,18-04-2024 00:00,Gunjur,2 BHK,1140,2,3,Bangalore,4300000,2,0,3771.929825
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1220,2,1,Bangalore,5700000,2,1,4672.131148
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,1350,7,0,Bangalore,8500000,8,1,6296.296296
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1005,2,1,Bangalore,3668000,2,1,3649.751244
Plot  Area,Ready To Move,Double Road,3 Bedroom,500,3,2,Bangalore,10000000,3,1,20000
Super built-up  Area,20-08-2024 00:00,Begur Road,2 BHK,1358,2,1,Bangalore,8058000,2,0,5933.726068
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1569,3,1,Bangalore,10100000,3,1,6437.22116
Super built-up  Area,18-04-2024 00:00,Haralur Road,2 BHK,1240,2,1,Bangalore,7000000,2,0,5645.16129
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2089,3,2,Bangalore,14000000,3,1,6701.771182
Super built-up  Area,Ready To Move,Kothannur,2 BHK,1206,2,1,Bangalore,4823000,2,1,3999.170813
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1150,2,3,Bangalore,4000000,2,1,3478.26087
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,2511,3,3,Bangalore,20500000,3,1,8164.078057
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,460,1,0,Bangalore,2200000,2,1,4782.608696
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,4400,6,3,Bangalore,25000000,6,1,5681.818182
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,1660,2,2,Bangalore,10500000,3,1,6325.301205
Built-up  Area,18-10-2024 00:00,Hennur Road,4 Bedroom,3203.5,2,2,Bangalore,22450000,4,0,7007.960044
Super built-up  Area,19-03-2024 00:00,Yelahanka,2 BHK,1326,2,2,Bangalore,7800000,2,0,5882.352941
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,1325,2,2,Bangalore,6080000,3,1,4588.679245
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,1499,5,2,Bangalore,10200000,3,1,6804.536358
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,3000,7,2,Bangalore,21000000,6,1,7000
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1665,3,2,Bangalore,8800000,3,1,5285.285285
Super built-up  Area,17-09-2024 00:00,Dasanapura,2 BHK,708,2,2,Bangalore,3700000,2,0,5225.988701
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1060,2,2,Bangalore,5806000,2,1,5477.358491
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,710,6,3,Bangalore,16000000,6,1,22535.21127
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,1000,2,2,Bangalore,7000000,2,1,7000
Super built-up  Area,18-12-2024 00:00,Electronic City,2 BHK,1000,2,1,Bangalore,2888000,2,0,2888
Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,1450,2,2,Bangalore,7000000,3,1,4827.586207
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,1200,4,2,Bangalore,15500000,4,1,12916.66667
Super built-up  Area,17-08-2024 00:00,Thanisandra,2 BHK,1296,2,3,Bangalore,8000000,2,0,6172.839506
Super built-up  Area,Ready To Move,Domlur,3 BHK,1540,3,2,Bangalore,9000000,3,1,5844.155844
Plot  Area,Ready To Move,Kengeri,4 Bedroom,2894,4,1,Bangalore,24500000,4,1,8465.791292
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,1330,2,1,Bangalore,4800000,3,1,3609.022556
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,1200,2,1,Bangalore,6500000,2,1,5416.666667
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,1200,3,1,Bangalore,9000000,3,1,7500
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,2502,3,3,Bangalore,13800000,3,1,5515.58753
Built-up  Area,Ready To Move,Chandapura,2 BHK,650,1,1,Bangalore,1700000,2,1,2615.384615
Plot  Area,Ready To Move,Kothanur,3 Bedroom,2400,2,1,Bangalore,15000000,3,1,6250
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,1007,2,2,Bangalore,4300000,2,1,4270.109235
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,1200,2,2,Bangalore,5000000,2,1,4166.666667
Super built-up  Area,Ready To Move,Peenya,2 BHK,966,2,2,Bangalore,4990000,2,1,5165.63147
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,1630,2,1,Bangalore,9800000,3,1,6012.269939
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1640,3,2,Bangalore,22900000,3,1,13963.41463
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,782,2,2,Bangalore,5568000,2,1,7120.204604
Super built-up  Area,19-04-2024 00:00,Devanahalli,2 BHK,1260,2,2,Bangalore,6678000,2,0,5300
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,1800,3,3,Bangalore,12000000,3,1,6666.666667
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,1413,2,2,Bangalore,7500000,3,1,5307.855626
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1116,2,1,Bangalore,5191000,2,1,4651.433692
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1530,2,1,Bangalore,4590000,3,1,3000
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,3700,4,1,Bangalore,22500000,4,1,6081.081081
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,2497,3,2,Bangalore,14000000,3,1,5606.728074
Super built-up  Area,Ready To Move,Kengeri,3 BHK,1540,2,3,Bangalore,6400000,3,1,4155.844156
Super built-up  Area,18-12-2024 00:00,Thanisandra,3 BHK,1436,3,1,Bangalore,7475000,3,0,5205.431755
Super built-up  Area,18-06-2024 00:00,Malleshwaram,2 BHK,1100,2,2,Bangalore,7500000,2,0,6818.181818
Plot  Area,Ready To Move,Hennur Road,2 Bedroom,276,3,3,Bangalore,2300000,2,1,8333.333333
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1427,3,2,Bangalore,12000000,3,1,8409.250175
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,2061,3,1,Bangalore,20000000,3,1,9704.027171
Super built-up  Area,18-03-2024 00:00,Hebbal,4 BHK,5611.5,4,0,Bangalore,47700000,4,0,8500.400962
Built-up  Area,Ready To Move,Shampura,4 BHK,2650,4,2,Bangalore,15000000,4,1,5660.377358
Super built-up  Area,22-12-2024 00:00,Devanahalli,3 BHK,1282,2,2,Bangalore,6852000,3,0,5344.773791
Built-up  Area,Ready To Move,Kadugodi,2 BHK,1050,2,1,Bangalore,3400000,2,1,3238.095238
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,1600,3,2,Bangalore,6500000,3,1,4062.5
Super built-up  Area,22-01-2024 00:00,Vajarahalli,2 BHK,945,2,1,Bangalore,5400000,2,0,5714.285714
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1500,2,1,Bangalore,7800000,2,1,5200
Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,950,7,0,Bangalore,11500000,7,1,12105.26316
Built-up  Area,Ready To Move,Peenya,3 BHK,1870,3,3,Bangalore,11000000,3,1,5882.352941
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,1600,3,1,Bangalore,7500000,3,1,4687.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,880,1,1,Bangalore,1650000,2,1,1875
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200,4,0,Bangalore,21000000,4,1,17500
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,1535,3,2,Bangalore,8300000,3,1,5407.166124
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,950,2,1,Bangalore,5700000,2,1,6000
Super built-up  Area,18-08-2024 00:00,Devanahalli,2 BHK,1360,2,1,Bangalore,6500000,2,0,4779.411765
Super built-up  Area,19-03-2024 00:00,8th Phase JP Nagar,2 BHK,1073.5,2,0,Bangalore,5400500,2,0,5030.740568
Super built-up  Area,18-05-2024 00:00,Bommasandra Industrial Area,3 BHK,1280,3,1,Bangalore,5040000,3,0,3937.5
Super built-up  Area,19-01-2024 00:00,Chandra Layout,3 BHK,1260,2,2,Bangalore,8505000,3,0,6750
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,5000,8,2,Bangalore,25000000,8,1,5000
Super built-up  Area,19-12-2024 00:00,Yelahanka,5 BHK,3050,5,1,Bangalore,21300000,5,0,6983.606557
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1563.05,3,1,Bangalore,10500000,3,1,6717.635392
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,1000,2,1,Bangalore,6000000,2,1,6000
Super built-up  Area,17-07-2024 00:00,Anandapura,2 BHK,1167,2,1,Bangalore,4376000,2,0,3749.785775
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,4000,7,2,Bangalore,22500000,7,1,5625
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1828,3,2,Bangalore,11000000,3,1,6017.50547
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,890,2,1,Bangalore,3500000,2,1,3932.58427
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,1612,3,3,Bangalore,4674000,3,1,2899.503722
Plot  Area,Ready To Move,Dinnur,6 Bedroom,1034,5,2,Bangalore,18500000,6,1,17891.68279
Super built-up  Area,19-04-2024 00:00,Mysore Road,3 BHK,1710,4,2,Bangalore,9131000,3,0,5339.766082
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,957,2,1,Bangalore,5800000,2,1,6060.606061
Super built-up  Area,18-05-2024 00:00, Devarachikkanahalli,3 BHK,1250,2,3,Bangalore,4400000,3,0,3520
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,2795,4,2,Bangalore,23500000,3,1,8407.871199
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1125,2,2,Bangalore,5000000,2,1,4444.444444
Super built-up  Area,18-07-2024 00:00,Electronic City Phase II,2 BHK,1020,2,1,Bangalore,3060000,2,0,3000
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200,2,2,Bangalore,5000000,2,1,4166.666667
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1735,3,3,Bangalore,13500000,3,1,7780.979827
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2050,3,1,Bangalore,14500000,3,1,7073.170732
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,3750,4,0,Bangalore,76000000,4,1,20266.66667
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,1350,2,3,Bangalore,4800000,3,1,3555.555556
Super built-up  Area,18-05-2024 00:00,Hosa Road,2 BHK,1063,2,1,Bangalore,3200000,2,0,3010.348071
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,1904,3,1,Bangalore,15000000,3,1,7878.151261
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,4200,4,2,Bangalore,42000000,4,1,10000
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,2000,3,1,Bangalore,17500000,3,1,8750
Super built-up  Area,18-12-2024 00:00,Sarjapur,2 BHK,1242.5,2,0,Bangalore,4349000,2,0,3500.201207
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,1425,2,2,Bangalore,7500000,3,1,5263.157895
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1500,2,1,Bangalore,6450000,3,1,4300
Built-up  Area,Ready To Move,Electronic City,2 BHK,1060,2,1,Bangalore,6000000,2,1,5660.377358
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,1470,2,2,Bangalore,7000000,3,1,4761.904762
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,1300,6,0,Bangalore,9900000,6,1,7615.384615
Super built-up  Area,Ready To Move,Attibele,1 BHK,450,1,1,Bangalore,1100000,1,1,2444.444444
Super built-up  Area,18-04-2024 00:00,Electronic City,2 BHK,1152,2,1,Bangalore,6450000,2,0,5598.958333
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1350,2,1,Bangalore,5600000,3,1,4148.148148
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,1550,3,3,Bangalore,6500000,3,1,4193.548387
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,1500,3,2,Bangalore,10000000,3,1,6666.666667
Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,600,3,2,Bangalore,8500000,5,1,14166.66667
Plot  Area,Ready To Move,Nagavara,1 Bedroom,400,1,0,Bangalore,1400000,1,1,3500
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,705,1,2,Bangalore,6700000,1,1,9503.546099
Built-up  Area,Ready To Move,Electronic City,2 BHK,770,1,1,Bangalore,3600000,2,1,4675.324675
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1242,2,3,Bangalore,5100000,2,1,4106.280193
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,1700,3,2,Bangalore,15500000,3,1,9117.647059
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2144,3,2,Bangalore,14500000,3,1,6763.059701
Super built-up  Area,21-06-2024 00:00,Vijayanagar,3 BHK,1704,3,2,Bangalore,11000000,3,0,6455.399061
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070,2,1,Bangalore,5200000,2,1,4859.813084
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,1846,3,2,Bangalore,30000000,3,1,16251.35428
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,1340,2,2,Bangalore,5570000,2,1,4156.716418
Built-up  Area,Ready To Move,Electronic City,2 BHK,1025,2,1,Bangalore,4600000,2,1,4487.804878
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1277.5,2,0,Bangalore,5680000,2,1,4446.183953
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200,2,2,Bangalore,5200000,2,1,4333.333333
Built-up  Area,18-12-2024 00:00,Kanakpura Road,4 Bedroom,2250,4,1,Bangalore,11000000,4,0,4888.888889
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,1550,2,3,Bangalore,8000000,3,1,5161.290323
Plot  Area,Ready To Move,Bellandur,4 Bedroom,1200,5,2,Bangalore,32500000,4,1,27083.33333
Plot  Area,Ready To Move,Ejipura,7 Bedroom,1800,7,1,Bangalore,25000000,7,1,13888.88889
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200,2,2,Bangalore,6000000,2,1,5000
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1327,2,2,Bangalore,9800000,2,1,7385.079126
Super built-up  Area,Ready To Move,Kothanur,2 BHK,1186,2,2,Bangalore,5800000,2,1,4890.387858
Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,1783,3,1,Bangalore,11500000,3,1,6449.803702
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,1400,3,2,Bangalore,5600000,3,1,4000
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,980,2,1,Bangalore,4800000,2,1,4897.959184
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1285,2,2,Bangalore,8200000,2,1,6381.322957
Super built-up  Area,Ready To Move,Langford Town,3 BHK,912,2,1,Bangalore,7000000,3,1,7675.438596
Built-up  Area,Ready To Move,Whitefield,2 BHK,1225,2,2,Bangalore,4760000,2,1,3885.714286
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1075,2,1,Bangalore,5300000,2,1,4930.232558
Built-up  Area,Ready To Move,Kadugodi,3 BHK,1260,2,2,Bangalore,5400000,3,1,4285.714286
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1282,2,2,Bangalore,4870000,3,1,3798.75195
Super built-up  Area,Ready To Move,Kogilu,3 BHK,1909,3,2,Bangalore,8800000,3,1,4609.743321
Super built-up  Area,Ready To Move,Panathur,2 BHK,1359,2,1,Bangalore,8700000,2,1,6401.766004
Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,1207,2,2,Bangalore,4350000,2,1,3603.976802
Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,1736,6,0,Bangalore,19000000,4,1,10944.70046
Super built-up  Area,20-05-2024 00:00,1st Block Jayanagar,4 BHK,2850,4,1,Bangalore,42800000,4,0,15017.54386
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,1595,3,2,Bangalore,6500000,3,1,4075.23511
Built-up  Area,18-06-2024 00:00,"Off Sarjapur Road, ",3 BHK,1798,3,2,Bangalore,8900000,3,0,4949.944383
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1475,3,2,Bangalore,7829000,3,1,5307.79661
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,1580,3,3,Bangalore,10000000,3,1,6329.113924
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,1295,2,1,Bangalore,6500000,2,1,5019.305019
Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,3600,6,0,Bangalore,14100000,6,1,3916.666667
Super built-up  Area,Ready To Move,Electronic City,1 BHK,589,1,1,Bangalore,2700000,1,1,4584.040747
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,1415,3,3,Bangalore,7800000,3,1,5512.367491
Super built-up  Area,18-12-2024 00:00,Sarjapur  Road,3 BHK,1787,3,2,Bangalore,9829000,3,0,5500.279799
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1787,3,2,Bangalore,12500000,3,1,6994.963626
Super built-up  Area,Ready To Move,Koramangala,3 BHK,1475,2,3,Bangalore,9000000,3,1,6101.694915
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000,4,1,Bangalore,7550000,4,1,3775
Super built-up  Area,19-03-2024 00:00,Sarjapur  Road,2 BHK,984,2,1,Bangalore,4428000,2,0,4500
Super built-up  Area,19-12-2024 00:00,Devanahalli,3 BHK,1630,2,2,Bangalore,7482000,3,0,4590.184049
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,2405,4,2,Bangalore,26000000,3,1,10810.81081
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1080,2,2,Bangalore,7200000,2,1,6666.666667
Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,1500,2,1,Bangalore,11500000,2,1,7666.666667
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1900,3,2,Bangalore,11900000,3,1,6263.157895
Super built-up  Area,19-08-2024 00:00,Dommasandra,2 BHK,805,2,1,Bangalore,2214000,2,0,2750.310559
Super built-up  Area,Ready To Move,Budigere,2 BHK,1153,2,2,Bangalore,5640000,2,1,4891.587164
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,1148,2,2,Bangalore,6000000,2,1,5226.480836
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,1110,2,2,Bangalore,5500000,2,1,4954.954955
Built-up  Area,Ready To Move,Electronic City,2 BHK,1100,2,2,Bangalore,4200000,2,1,3818.181818
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1290,2,2,Bangalore,11000000,2,1,8527.131783
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,1500,2,1,Bangalore,6500000,3,1,4333.333333
Super built-up  Area,18-04-2024 00:00,Bank Of Baroda Colony,2 BHK,1080,2,2,Bangalore,3900000,2,0,3611.111111
Super built-up  Area,21-06-2024 00:00,Vijayanagar,3 BHK,1933,3,1,Bangalore,12900000,3,0,6673.564408
Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,3500,5,2,Bangalore,15000000,5,1,4285.714286
Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,1060,2,2,Bangalore,6000000,2,1,5660.377358
